IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150331521,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,04/22/2015,18:00,BAYVIEW,NONE,2000 Block of EVANS AV,-122.396315619126,37.7478113603031,"(37.7478113603031, -122.396315619126)",15033152106304
150341605,ASSAULT,ATTEMPTED SIMPLE ASSAULT,Sunday,04/19/2015,12:15,CENTRAL,NONE,800 Block of WASHINGTON ST,-122.40672716771,37.7950566945259,"(37.7950566945259, -122.40672716771)",15034160504114
150341605,ASSAULT,THREATS AGAINST LIFE,Sunday,04/19/2015,12:15,CENTRAL,NONE,800 Block of WASHINGTON ST,-122.40672716771,37.7950566945259,"(37.7950566945259, -122.40672716771)",15034160519057
150341605,OTHER OFFENSES,CRUELTY TO ANIMALS,Sunday,04/19/2015,12:15,CENTRAL,NONE,800 Block of WASHINGTON ST,-122.40672716771,37.7950566945259,"(37.7950566945259, -122.40672716771)",15034160528010
150341702,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,04/19/2015,12:03,MISSION,EXCEPTIONAL CLEARANCE,1100 Block of SOUTH VAN NESS AV,-122.416557578218,37.7547485110398,"(37.7547485110398, -122.416557578218)",15034170264020
150341229,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,04/19/2015,09:53,CENTRAL,NONE,0 Block of MONTGOMERY ST,-122.402163713618,37.7895710255863,"(37.7895710255863, -122.402163713618)",15034122906362
150341235,SECONDARY CODES,GANG ACTIVITY,Sunday,04/19/2015,09:51,MISSION,NONE,2000 Block of MISSION ST,-122.419520367886,37.764228935718,"(37.764228935718, -122.419520367886)",15034123519400
150341235,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,04/19/2015,09:51,MISSION,NONE,2000 Block of MISSION ST,-122.419520367886,37.764228935718,"(37.764228935718, -122.419520367886)",15034123516710
150341166,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,04/19/2015,09:34,MISSION,NONE,MISSION ST / 18TH ST,-122.419360352761,37.7618358012376,"(37.7618358012376, -122.419360352761)",15034116664020
150340851,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,04/19/2015,03:18,TENDERLOIN,NONE,500 Block of LEAVENWORTH ST,-122.414782081215,37.7860514387143,"(37.7860514387143, -122.414782081215)",15034085128100
150340817,NON-CRIMINAL,LOST PROPERTY,Sunday,04/19/2015,02:30,MISSION,UNFOUNDED,2300 Block of FOLSOM ST,-122.41469551481,37.7596861764245,"(37.7596861764245, -122.41469551481)",15034081771000
150340732,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Sunday,04/19/2015,01:31,SOUTHERN,NONE,1300 Block of FOLSOM ST,-122.41248627649,37.773001280588,"(37.773001280588, -122.41248627649)",15034073206112
150340500,NON-CRIMINAL,AIDED CASE,Sunday,04/19/2015,01:02,SOUTHERN,NONE,MISSION ST / 7TH ST,-122.410939205552,37.7792122590085,"(37.7792122590085, -122.410939205552)",15034050051040
150340481,NON-CRIMINAL,AIDED CASE,Sunday,04/19/2015,00:55,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282,"(37.7657184395282, -122.409529913278)",15034048151040
